#t 0-1 0-2 0-3 0-4 0-5 0-6 1-2 1-3 1-4 1-5 1-6 2-3 2-4 2-5 2-6 3-4 3-5 3-6 4-5 4-6 5-6
.241890 0.0647009 0.158885 0.290151 0.349796 0.31582 0.152922 0.863506 0.262963 0.269402 0.278683 0.271115 0.813518 1.69853 0.784861 0.112343 1.48263 0.495957 1.04169 2.3904 0.785956 1.49383
.483780 0.0569803 0.154187 0.291917 0.345676 0.321433 0.153148 0.853003 0.264137 0.298687 0.259901 0.26738 0.768735 1.69931 0.78332 0.108693 1.72319 0.500617 1.10568 2.22868 0.814294 1.66658
.725670 0.0517078 0.151205 0.294952 0.345705 0.323248 0.154394 0.839109 0.265795 0.317893 0.247349 0.264713 0.735172 1.70103 0.795235 0.107257 2.00056 0.507344 1.17601 2.12134 0.857836 1.82025
.967560 0.0484301 0.150212 0.29754 0.349408 0.321549 0.156462 0.837515 0.267142 0.31709 0.241669 0.262998 0.712905 1.71253 0.821365 0.108215 2.29893 0.515596 1.25339 2.06477 0.913735 1.93239
1.209450 0.0463265 0.15118 0.298985 0.356264 0.316305 0.159108 0.845825 0.268342 0.296325 0.240302 0.262189 0.697998 1.72974 0.862433 0.111591 2.59997 0.524993 1.33766 2.06036 0.977251 1.98482
1.451340 0.0446715 0.154072 0.29939 0.366087 0.306864 0.162225 0.849084 0.270338 0.261042 0.239927 0.262149 0.680672 1.73877 0.918501 0.11738 2.8837 0.536039 1.42736 2.11295 1.04227 1.98128
1.693230 0.043026 0.158553 0.299086 0.379063 0.292037 0.16576 0.83724 0.273909 0.218736 0.237581 0.26299 0.648831 1.71995 0.988292 0.125037 3.12898 0.550473 1.51986 2.2284 1.10037 1.94384
1.935120 0.0413102 0.164765 0.298242 0.395573 0.269874 0.169805 0.808502 0.278819 0.176609 0.231163 0.265055 0.595486 1.65451 1.0678 0.133539 3.32489 0.571178 1.61119 2.40221 1.14311 1.90375
2.177010 0.0396162 0.172626 0.297487 0.415426 0.238066 0.174266 0.766767 0.284047 0.144069 0.219579 0.268516 0.526869 1.53578 1.14588 0.142169 3.48391 0.598955 1.69646 2.59267 1.16177 1.88351
2.418900 0.0381587 0.18233 0.296788 0.436303 0.195765 0.179379 0.715211 0.288555 0.12924 0.203193 0.273811 0.467724 1.39097 1.20159 0.151242 3.6763 0.629284 1.7704 2.67631 1.15306 1.89121
2.660790 0.0369368 0.194091 0.297034 0.453278 0.148051 0.184952 0.65738 0.292116 0.132007 0.184657 0.280984 0.455159 1.2991 1.20838 0.162859 4.06704 0.647539 1.83051 2.49103 1.12571 1.90782
2.902680 0.0360935 0.208412 0.299507 0.46095 0.109182 0.19068 0.596289 0.295497 0.141248 0.170338 0.289459 0.527263 1.35969 1.15632 0.180155 4.96331 0.636421 1.8766 2.02953 1.10771 1.86848
3.144570 0.0355556 0.22636 0.307301 0.456201 0.0960526 0.196176 0.533668 0.300097 0.148169 0.167385 0.298203 0.732729 1.60626 1.06799 0.205019 6.96445 0.597138 1.90279 1.49147 1.14869 1.66114
3.386460 0.0354951 0.24984 0.326832 0.43477 0.107669 0.200875 0.470121 0.306539 0.152812 0.178625 0.305317 1.20432 1.98264 0.982969 0.237476 11.0185 0.568133 1.87155 1.05228 1.32108 1.20916
3.628350 0.0356594 0.282282 0.361141 0.388986 0.12838 0.204225 0.404891 0.311194 0.167143 0.201231 0.308661 2.19194 2.30517 0.932651 0.278683 15.3853 0.620781 1.69307 0.744312 1.68401 0.987177
3.870240 0.0360135 0.328064 0.37983 0.336039 0.148748 0.206251 0.335303 0.312593 0.196094 0.229207 0.307601 3.64199 2.41007 0.924368 0.337935 13.6054 0.759943 1.40482 0.566104 2.08145 1.81843
4.112130 0.0365504 0.387866 0.35547 0.303567 0.165526 0.207382 0.258748 0.322241 0.21756 0.256631 0.303425 4.81419 2.50084 0.932937 0.427269 10.4768 0.980167 1.22153 0.551117 2.35495 2.83342
4.354020 0.0374082 0.44835 0.30539 0.282318 0.177879 0.20821 0.181369 0.338064 0.223522 0.279431 0.297923 4.5245 2.63672 0.918474 0.531825 11.4003 1.32458 1.2185 0.646774 2.51731 3.49417
4.595910 0.0382882 0.49097 0.278494 0.248053 0.185617 0.209299 0.121587 0.359562 0.203669 0.295394 0.292583 2.78418 2.75017 0.877257 0.60827 20.2324 1.74231 1.59311 0.929656 2.43826 3.69372
4.837800 0.0395033 0.515025 0.304646 0.171432 0.187962 0.211286 0.0882779 0.378469 0.180272 0.302468 0.288468 1.30825 2.41855 0.830715 0.639038 20.2903 1.7678 2.44246 1.95833 1.652 3.52151
