#t(fs) C1F2 C1F3 C1F4 C1C5 C1H6 C1C7 C1H8 C1F9 F2F3 F2F4 F2C5 F2H6 F2C7 F2H8 F2F9 F3F4 F3C5 F3H6 F3C7 F3H8 F3F9 F4C5 F4H6 F4C7 F4H8 F4F9 C5H6 C5C7 C5H8 C5F9 H6C7 H6H8 H6F9 C7H8 C7F9 H8F9(ang.)
.241890 1.2999071347 1.3666583208 1.3576457697 1.4822799222 2.4693596885 2.4377135484 3.2767081854 3.6838000658 2.1488735937 2.1490458597 2.3082258734 3.2518677003 3.2832609939 3.8849447281 4.4380517794 2.1503800376 2.3738937847 3.5277805926 2.7227207920 2.9813049964 4.0860115678 2.3569531721 2.6704823344 3.4062331829 4.4455630243 4.5226614975 1.4056089857 1.2922778187 2.6271691869 2.2926456535 2.2146526549 3.7646776739 2.5526557934 1.5663868646 1.3662703502 2.2343721349
.483780 1.3013077738 1.3682952342 1.3542616615 1.4832984768 2.4866865015 2.4413696328 3.2661100407 3.6872401705 2.1506596162 2.1500292738 2.3092136015 3.2729158695 3.2861454420 3.8741634513 4.4403650697 2.1506482291 2.3740949465 3.5436926595 2.7237317032 2.9691712695 4.0877669106 2.3548687674 2.6767482615 3.4061575373 4.4309777325 4.5227604015 1.4261560790 1.2944894141 2.6153196431 2.2946126239 2.2303365858 3.7695664508 2.5612322133 1.5550484937 1.3669266741 2.2318301388
.725670 1.3027802305 1.3698513414 1.3508585115 1.4842015464 2.5020596102 2.4455951212 3.2533910433 3.6906038734 2.1524596708 2.1510233036 2.3101283254 3.2920081251 3.2895636844 3.8617502620 4.4426299679 2.1508895202 2.3743572757 3.5575580729 2.7250609836 2.9556002343 4.0894081687 2.3524141742 2.6820848763 3.4066838604 4.4141142326 4.5227488068 1.4439450370 1.2977915633 2.6014056707 2.2968101185 2.2446662421 3.7697744604 2.5687819927 1.5406121847 1.3671704303 2.2274620535
.967560 1.3043371428 1.3713257374 1.3474479998 1.4849955077 2.5154061313 2.4503964836 3.2385568821 3.6938981531 2.1542831919 2.1520484265 2.3109914230 3.3091005595 3.2935290520 3.8477432922 4.4448603455 2.1511063785 2.3746861159 3.5692981732 2.7267189743 2.9406128670 4.0909424014 2.3496071171 2.6864058971 3.4078293663 4.3949753942 4.5226466721 1.4589158111 1.3021787355 2.5854175742 2.2992372806 2.2575694167 3.7652258843 2.5752596476 1.5230784088 1.3670009389 2.2212864445
1.209450 1.3059445031 1.3727174429 1.3440353628 1.4856920880 2.5266435981 2.4557532312 3.2216248937 3.6971130048 2.1561114934 2.1530751025 2.3117936180 3.3241007746 3.2980028980 3.8321785635 4.4470291054 2.1512980764 2.3750915700 3.5788241607 2.7286938843 2.9242525405 4.0923627332 2.3464583484 2.6896063579 3.4095743016 4.3735658503 4.5224449772 1.4709984748 1.3076196074 2.5673460434 2.3018716880 2.2689623553 3.7558382629 2.5806132950 1.5024556171 1.3664267532 2.2133099596
1.451340 1.3076194580 1.3740251841 1.3406148311 1.4863077123 2.5356807739 2.4616311605 3.2026195796 3.7002554101 2.1579546191 2.1541126427 2.3125746118 3.3369574602 3.3029693593 3.8151191972 4.4491596686 2.1514599444 2.3755826705 3.5860356874 2.7309624742 2.9065664501 4.0936762219 2.3429738059 2.6915678433 3.4118761516 4.3498873347 4.5221421149 1.4801180541 1.3140613669 2.5471833715 2.3047013536 2.2787507041 3.7415325278 2.5848100128 1.4787714463 1.3654825595 2.2035639049
1.693230 1.3093415667 1.3752484302 1.3372118716 1.4868584580 2.5424810283 2.4680192373 3.1815634499 3.7033253629 2.1598030727 2.1551615830 2.3133434527 3.3476289196 3.3084114661 3.7966154173 4.4512468656 2.1516027414 2.3761660138 3.5908913277 2.7335233173 2.8876124323 4.0948847213 2.3391900617 2.6922367770 3.4147385109 4.3239630419 4.5217530077 1.4862578578 1.3214665290 2.5249045845 2.3077057243 2.2868966944 3.7222609472 2.5878338523 1.4520371411 1.3641768799 2.1920682644
1.935120 1.3111182927 1.3763766685 1.3338213608 1.4873620876 2.5470324616 2.4748839580 3.1584899190 3.7063108166 2.1616545006 2.1562225832 2.3141225596 3.3561147218 3.3142948206 3.7767229222 4.4532756292 2.1517119026 2.3768396726 3.5933663957 2.7363519972 2.8674631934 4.0959739322 2.3351301940 2.6915826884 3.4181324714 4.2958082881 4.5212733117 1.4894257954 1.3297747847 2.5004862641 2.3108504003 2.2933742345 3.6979965195 2.5896732624 1.4222744145 1.3625257025 2.1788391965
2.177010 1.3129349910 1.3774192853 1.3304616485 1.4878305778 2.5493291891 2.4821897786 3.1334168422 3.7092277065 2.1635087856 2.1572950854 2.3149299237 3.3624032408 3.3205919278 3.7554952170 4.4552700272 2.1518036241 2.3776126715 3.5934622793 2.7394334312 2.8461943997 4.0969666887 2.3308145677 2.6895775945 3.4220244341 4.2654293615 4.5207179262 1.4896307440 1.3389253190 2.4738803148 2.3141331559 2.2981574847 3.6686888998 2.5903352665 1.3894901335 1.3605730172 2.1639030735
2.418900 1.3147769217 1.3783653152 1.3271372753 1.4882873522 2.5493784330 2.4899149740 3.1064281643 3.7120569083 2.1653518124 2.1583797518 2.3157723729 3.3664879500 3.3272618774 3.7330193939 4.4571912736 2.1518693895 2.3784839963 3.5911709603 2.7427567679 2.8239212237 4.0978405164 2.3262690207 2.6862071999 3.4263901528 4.2328896937 4.5200678046 1.4868916782 1.3488581185 2.4451121877 2.3175068927 2.3012324213 3.6343734721 2.5898131986 1.3537707373 1.3583137025 2.1473250259
