#t(fs) C1F2 C1F3 C1F4 C1C5 C1H6 C1C7 C1H8 C1F9 F2F3 F2F4 F2C5 F2H6 F2C7 F2H8 F2F9 F3F4 F3C5 F3H6 F3C7 F3H8 F3F9 F4C5 F4H6 F4C7 F4H8 F4F9 C5H6 C5C7 C5H8 C5F9 H6C7 H6H8 H6F9 C7H8 C7F9 H8F9(ang.)
.241890 1.2909516306 1.3155946615 1.3897213065 1.4914182406 1.7820603153 2.4592034628 2.9054278777 3.6917514150 2.1463465127 2.1594658097 2.2953279248 2.1991223894 3.3882768438 3.9881547710 4.5007896564 2.1785549688 2.3533057878 2.9202401634 2.7300419646 2.6976885218 4.0442334163 2.3067428719 2.3934222847 3.2940584902 3.6340327845 4.4248402269 .8293353130 1.3121947901 2.1910653867 2.3186271824 2.0242964757 2.9878636001 2.7493845943 1.0901016568 1.3173927472 1.8702222458
.483780 1.2902858151 1.3176774206 1.3891853138 1.4900860695 1.7934051725 2.4583024312 2.9237045372 3.6919287435 2.1468929081 2.1582709845 2.2955281135 2.1962940082 3.3875238268 4.0056085502 4.5014229909 2.1794770977 2.3516657826 2.9403343467 2.7297313291 2.7147112328 4.0444609147 2.3070910886 2.3974988742 3.2933615899 3.6510503162 4.4255795968 .8624459526 1.3090335250 2.2026668503 2.3183783171 2.0529794237 3.0315746677 2.7734060397 1.0990060778 1.3180615246 1.8646577345
.725670 1.2897931971 1.3196662902 1.3884768444 1.4885069591 1.8117367336 2.4577118778 2.9413966532 3.6921566134 2.1474652792 2.1570687008 2.2956792691 2.1962482795 3.3871113138 4.0225870517 4.5020890317 2.1803516963 2.3495051865 2.9684996372 2.7296152229 2.7309853365 4.0447141269 2.3072078756 2.4058291042 3.2928797185 3.6675515055 4.4262887893 .9050223849 1.3059665903 2.2137565687 2.3181866172 2.0895622826 3.0835094244 2.8021156618 1.1080796133 1.3185526557 1.8599254535
.967560 1.2894853065 1.3215631034 1.3876292917 1.4866656256 1.8359386811 2.4574680694 2.9583349975 3.6924125321 2.1480777280 2.1558681747 2.2956724566 2.1992818195 3.3870914370 4.0389242755 4.5027749754 2.1812125665 2.3469536974 3.0029121057 2.7297465394 2.7463860596 4.0449925058 2.3070758435 2.4180764499 3.2926792900 3.6834452632 4.4269837513 .9541373505 1.3032545425 2.2244248460 2.3181720390 2.1316575663 3.1408811054 2.8338727440 1.1171247404 1.3188113881 1.8559903022
1.209450 1.2893569344 1.3233548145 1.3866215629 1.4846153140 1.8646676269 2.4575765476 2.9743966194 3.6927297406 2.1487220695 2.1546697484 2.2954637973 2.2052685577 3.3874558621 4.0544726199 4.5034921091 2.1820418484 2.3441348442 3.0416909905 2.7301022205 2.7608347861 4.0453122587 2.3066743814 2.4335856062 3.2927322979 3.6985933958 4.4276617912 1.0072415794 1.3010462750 2.2346760260 2.3184124415 2.1772539824 3.2012762859 2.8674542145 1.1259081822 1.3188749779 1.8527696012
1.451340 1.2894127815 1.3250190939 1.3854615194 1.4823818590 1.8967419772 2.4580716794 2.9894428188 3.6930913320 2.1493855433 2.1534731259 2.2950207208 2.2140375019 3.3882471004 4.0690953413 4.5042304499 2.1828263066 2.3411347757 3.0832709103 2.7306975557 2.7742359356 4.0456487256 2.3060138527 2.4517845262 3.2930854019 3.7128835921 4.4283230792 1.0622676520 1.2994975898 2.2444932442 2.3189443277 2.2247109431 3.2627124790 2.9017689248 1.1342204992 1.3187007096 1.8501793027
1.693230 1.2896368909 1.3265757081 1.3841424251 1.4799851935 1.9311222593 2.4589458675 3.0034088842 3.6935084387 2.1500756609 2.1522686003 2.2943007205 2.2253069292 3.3894463699 4.0827106674 4.5049870092 2.1835794824 2.3380476085 3.1264103543 2.7315252439 2.7865340241 4.0460177798 2.3050734251 2.4720910682 3.2937124995 3.7262386512 4.4289580707 1.1176152208 1.2986977786 2.2539142263 2.3198163013 2.2727256249 3.3237153989 2.9359634438 1.1419555197 1.3183116241 1.8481974310
1.935120 1.2900473243 1.3280166657 1.3826744789 1.4774390211 1.9669664996 2.4602190266 3.0162248304 3.6939700334 2.1507957706 2.1510865842 2.2933015834 2.2387822187 3.3910893631 4.0952671955 4.5057664320 2.1842965639 2.3349268695 3.1701583658 2.7325983105 2.7976606261 4.0464070097 2.3038567266 2.4940071277 3.2946360993 3.7385869287 4.4295596109 1.1721486924 1.2987315410 2.2629559866 2.3210444869 2.3203837046 3.3832407412 2.9693982611 1.1490345806 1.3176811292 1.8468199130
2.177010 1.2906181592 1.3293457722 1.3810624785 1.4747522190 2.0035354492 2.4618976905 3.0278933419 3.6944822038 2.1515315117 2.1498863312 2.2919999267 2.2540918673 3.3931751288 4.1067603363 4.5065710219 2.1849767512 2.3318181702 3.2137461978 2.7339259018 2.8076090385 4.0468264443 2.3023774011 2.5170584076 3.2958813516 3.7499398492 4.4301542337 1.2250088191 1.2996490448 2.2716791992 2.3226520582 2.3669785991 3.4405553981 3.0015894225 1.1554468440 1.3168103385 1.8460602592
2.418900 1.2913667793 1.3305683001 1.3793148632 1.4719363765 2.0402641019 2.4639804106 3.0384079167 3.6950129611 2.1522968276 2.1487082272 2.2904067596 2.2709035402 3.3957120838 4.1171995540 4.5073788054 2.1856218351 2.3287575902 3.2566313846 2.7355088004 2.8163544505 4.0472478207 2.3006377820 2.5408378928 3.2974428788 3.7602719913 4.4307057125 1.2756366459 1.3014727235 2.2801226451 2.3246120351 2.4120418502 3.4951957076 3.0321789246 1.1611990580 1.3156706830 1.8459300190
