#t 0-1 0-2 0-3 0-4 0-5 0-6 1-2 1-3 1-4 1-5 1-6 2-3 2-4 2-5 2-6 3-4 3-5 3-6 4-5 4-6 5-6
.241890 0.028983 0.211294 0.452291 0.167788 0.113817 0.250302 0.477671 0.225275 0.279145 0.263081 0.385671 6.9989 2.06514 1.05037 0.479125 1.82064 0.747122 1.27962 3.30989 1.43889 22.8372
.483780 0.0290368 0.208943 0.446444 0.176966 0.214894 0.23683 0.480672 0.235485 0.284761 0.28822 0.399331 5.82101 2.25607 0.889531 0.674212 2.0966 1.2114 0.81169 2.16577 2.82522 54.6207
.725670 0.0292484 0.203356 0.440826 0.187009 0.269616 0.17344 0.491364 0.24292 0.286686 0.327846 0.346666 4.70068 2.43612 0.67583 0.963749 2.52059 1.41368 0.595899 1.98638 2.77813 16.2336
.967560 0.0295943 0.194557 0.435685 0.196922 0.280815 0.1523 0.512495 0.247894 0.283717 0.330707 0.330908 3.69252 2.54555 0.631381 1.05913 3.14182 1.59856 0.607968 2.20178 2.42916 7.26302
1.209450 0.0300935 0.183071 0.431693 0.204952 0.286205 0.142899 0.547161 0.25083 0.27552 0.327545 0.328059 2.82988 2.52081 0.613633 1.0977 4.02364 1.87336 0.641375 2.46153 2.07158 4.22461
1.451340 0.0308144 0.169986 0.429531 0.208355 0.290597 0.139574 0.598217 0.252026 0.263807 0.322534 0.332926 2.14439 2.33807 0.590997 1.08717 5.21998 2.28755 0.677427 2.76735 1.75031 2.90412
1.693230 0.0316119 0.157109 0.430001 0.203281 0.295415 0.140384 0.669089 0.251543 0.252061 0.315978 0.342918 1.63552 2.04329 0.558595 1.03264 6.72476 2.91625 0.716316 3.10981 1.48612 2.28414
1.935120 0.0325862 0.145988 0.433609 0.18553 0.3017 0.144078 0.766136 0.249389 0.244698 0.307206 0.355903 1.27677 1.71747 0.521702 0.945579 8.28223 3.88709 0.769102 3.40814 1.28261 2.00901
2.177010 0.0337082 0.137409 0.438273 0.153979 0.310759 0.149919 0.899582 0.245906 0.244994 0.295508 0.370128 1.02965 1.42153 0.48804 0.842249 8.88925 5.34097 0.854677 3.41865 1.11631 1.92239
2.418900 0.034983 0.131292 0.434814 0.128047 0.323929 0.157275 1.08594 0.243348 0.25192 0.279949 0.383904 0.856166 1.17921 0.460807 0.736145 7.13196 7.17409 0.978634 2.83464 0.95522 1.93283
2.660790 0.0365598 0.127203 0.415515 0.134149 0.3423 0.165456 1.35081 0.246588 0.259982 0.260716 0.395335 0.718674 0.99829 0.438557 0.636378 4.52187 8.77556 1.10672 2.24164 0.810846 1.97685
2.902680 0.0386657 0.124623 0.387817 0.145346 0.365184 0.173669 1.73644 0.255509 0.266556 0.240308 0.402857 0.595192 0.874869 0.416615 0.547536 3.11516 9.50911 1.21557 3.17 0.732466 1.99878
3.144570 0.0415803 0.123124 0.359876 0.144004 0.389206 0.180933 2.31126 0.264875 0.272686 0.224294 0.405627 0.487016 0.789435 0.392565 0.47206 2.906 9.15835 1.30448 5.32016 0.754936 1.95308
3.386460 0.0455971 0.122342 0.334413 0.141355 0.408118 0.186543 3.19038 0.270617 0.278384 0.220482 0.403948 0.398734 0.720553 0.373577 0.411372 3.42048 7.93387 1.36274 9.02976 0.885909 1.81684
3.628350 0.0516682 0.121765 0.311923 0.164893 0.412715 0.19007 4.54589 0.271397 0.282258 0.235384 0.398685 0.331225 0.649636 0.375382 0.366504 4.0432 6.24626 1.37637 16.0259 1.08315 1.5874
3.870240 0.0605646 0.120856 0.29225 0.225874 0.393507 0.191257 6.57498 0.267838 0.282959 0.26854 0.390358 0.282596 0.564914 0.401614 0.3376 4.44593 4.47401 1.34277 24.1913 1.26775 1.29641
