#t 0-1 0-2 0-3 0-4 0-5 0-6 1-2 1-3 1-4 1-5 1-6 2-3 2-4 2-5 2-6 3-4 3-5 3-6 4-5 4-6 5-6
0 0.0316531 0.198863 0.394701 0.119312 0.208496 0.293765 0.400495 0.170471 0.191393 0.571773 0.249366 5.15625 2.62768 2.35959 0.591752 1.93181 3.53997 1.61435 6.63177 0.7068 3.82275
.241890 0.0317041 0.203849 0.396883 0.121128 0.201819 0.292807 0.40021 0.165468 0.194688 0.564461 0.247292 5.32619 2.65392 2.37804 0.588694 2.11784 3.53406 1.53184 5.75684 0.631325 3.73682
.483780 0.031781 0.21212 0.397951 0.124444 0.193006 0.291411 0.39715 0.163456 0.203162 0.552085 0.245262 5.65543 2.66703 2.3866 0.588247 2.35949 3.47675 1.42948 4.77053 0.553812 3.69111
.725670 0.0319928 0.224176 0.397229 0.12877 0.182474 0.289529 0.39138 0.166899 0.215649 0.534496 0.24358 6.16834 2.67618 2.36955 0.590339 2.65713 3.36829 1.31189 3.78003 0.481173 3.69148
.967560 0.0322124 0.240606 0.393665 0.133319 0.171031 0.287188 0.382641 0.178026 0.229883 0.512152 0.242757 6.88059 2.69198 2.31383 0.596609 3.01424 3.22068 1.19101 2.90373 0.420556 3.74091
1.209450 0.0325135 0.262206 0.38587 0.13731 0.159575 0.284337 0.370185 0.198114 0.243094 0.486135 0.243319 7.77088 2.72079 2.20962 0.609492 3.44346 3.05778 1.07678 2.21134 0.376048 3.85747
1.451340 0.0328308 0.289552 0.372253 0.140132 0.148761 0.281021 0.352456 0.227273 0.253012 0.457914 0.245586 8.72065 2.75924 2.05277 0.632522 3.97746 2.90455 0.976723 1.72413 0.349155 4.07039
1.693230 0.0332558 0.322166 0.35132 0.141325 0.139127 0.277296 0.327671 0.264507 0.257778 0.429218 0.249412 9.43207 2.79139 1.84361 0.669056 4.68093 2.77737 0.894711 1.42616 0.340121 4.45416
1.935120 0.0336993 0.355163 0.325466 0.14085 0.130842 0.273448 0.297756 0.30474 0.256719 0.401483 0.253901 9.51966 2.7935 1.60242 0.71492 5.56673 2.65675 0.833409 1.27179 0.346055 5.13742
2.177010 0.0341308 0.385562 0.297349 0.138494 0.12444 0.269447 0.263845 0.344614 0.248983 0.376441 0.25753 8.86326 2.75333 1.35078 0.768286 6.66162 2.52927 0.796594 1.22969 0.372231 6.42799
2.418900 0.0346046 0.41108 0.27088 0.133938 0.121272 0.264847 0.228616 0.381341 0.233789 0.356645 0.257799 7.67021 2.66589 1.10597 0.827842 7.92634 2.37414 0.800172 1.26941 0.432148 9.13191
2.660790 0.0351355 0.43101 0.24953 0.126869 0.125691 0.257697 0.194714 0.413282 0.211102 0.346592 0.249252 6.31934 2.52814 0.869605 0.896128 9.15747 2.15909 0.884336 1.3525 0.565132 15.6876
2.902680 0.0356136 0.445523 0.235116 0.118029 0.151968 0.238801 0.165201 0.438363 0.184834 0.354615 0.218476 5.17 2.35009 0.632108 0.969115 9.96047 1.80138 1.14443 1.36307 0.871223 32.0871
3.144570 0.0362479 0.456561 0.226141 0.107107 0.21253 0.18254 0.138937 0.456859 0.15812 0.37213 0.169075 4.25984 2.11552 0.535047 0.958033 9.8386 1.12108 1.54119 1.07752 1.45126 40.0037
3.386460 0.0368626 0.464776 0.221082 0.0963645 0.246047 0.129236 0.116365 0.466955 0.141221 0.365486 0.170128 3.6453 1.84651 0.683283 0.813798 8.75151 0.555433 1.57672 0.711937 1.85161 17.6839
3.628350 0.037551 0.471063 0.218219 0.0869668 0.254609 0.107483 0.0970499 0.470081 0.137249 0.358592 0.176194 3.25008 1.56594 0.78245 0.695052 7.09434 0.309854 1.41732 0.564927 2.06853 7.59844
3.870240 0.0381815 0.4758 0.216549 0.0800431 0.257114 0.0984293 0.0814381 0.468601 0.141342 0.356132 0.17647 3.01092 1.32042 0.841764 0.616398 5.54614 0.196454 1.25187 0.524713 2.21315 4.04857
4.112130 0.0388671 0.479413 0.215467 0.0751234 0.258034 0.0942236 0.0691302 0.464703 0.146885 0.355798 0.175247 2.85753 1.12155 0.883772 0.565184 4.32601 0.136006 1.11323 0.53314 2.32841 2.54446
4.354020 0.0395637 0.482259 0.214598 0.0714645 0.258463 0.0924762 0.0595698 0.459413 0.150706 0.356338 0.174685 2.74831 0.961635 0.917328 0.532787 3.39822 0.104359 0.998959 0.574957 2.43878 1.79257
4.595910 0.0402496 0.48442 0.213762 0.0684588 0.258654 0.0923602 0.0529249 0.453362 0.151567 0.357106 0.175665 2.66481 0.837987 0.945471 0.515265 2.72576 0.0955936 0.907402 0.649068 2.55037 1.38374
4.837800 0.0409241 0.486088 0.212805 0.0655998 0.25876 0.0935397 0.0490067 0.446695 0.149256 0.357681 0.178636 2.59606 0.740407 0.969931 0.50993 2.23417 0.103648 0.833059 0.765963 2.66889 1.14498
5.079690 0.0415971 0.487415 0.211632 0.0625032 0.258673 0.0959141 0.0474896 0.439306 0.14376 0.358057 0.183943 2.53657 0.660419 0.990755 0.51575 1.86784 0.121975 0.771285 0.953502 2.79717 1.00657
5.321580 0.0421732 0.488371 0.210082 0.0589299 0.258459 0.0993329 0.0478943 0.431107 0.134833 0.358214 0.191598 2.4846 0.591093 1.00894 0.531385 1.59287 0.14583 0.71842 1.27225 2.93299 0.928535
5.563470 0.042778 0.489007 0.208223 0.054952 0.258079 0.103729 0.049813 0.422207 0.122517 0.357996 0.201539 2.43869 0.52828 1.02465 0.555565 1.38745 0.172609 0.673553 1.87001 3.07036 0.891271
5.805360 0.043407 0.489438 0.206058 0.0513358 0.257435 0.1089 0.0527659 0.412541 0.107385 0.357312 0.213414 2.4 0.46981 1.03796 0.587089 1.2376 0.202177 0.636183 3.11861 3.19755 0.887167
6.047250 0.0440466 0.489705 0.2036 0.0503158 0.256329 0.114457 0.0564618 0.402004 0.0928529 0.355701 0.226413 2.37025 0.417001 1.04943 0.623544 1.1341 0.235957 0.606731 5.96299 3.29451 0.920657
6.289140 0.0446517 0.489854 0.200827 0.0558902 0.254273 0.119819 0.060634 0.390539 0.0899838 0.351775 0.239329 2.35021 0.376084 1.06012 0.66102 1.07182 0.278262 0.585316 12.2341 3.33302 1.0114
6.531030 0.0452776 0.489991 0.197754 0.0692765 0.250949 0.124267 0.0650985 0.377985 0.111973 0.343431 0.250568 2.34278 0.354223 1.07414 0.694538 1.04796 0.333876 0.573959 22.1985 3.28427 1.17228
6.772920 0.0458785 0.490078 0.194307 0.0829764 0.248118 0.127238 0.0697688 0.364037 0.147884 0.332393 0.258793 2.34949 0.350106 1.09914 0.719812 1.07252 0.393505 0.572739 28.452 3.16 1.31798
7.014810 0.0465379 0.490167 0.190421 0.0900192 0.248553 0.128553 0.0746917 0.348264 0.180031 0.324986 0.263382 2.37487 0.378325 1.13593 0.734471 1.16919 0.438286 0.580522 24.6313 3.01004 1.33472
7.256700 0.0472453 0.490239 0.185951 0.0950849 0.25109 0.128451 0.0798957 0.329955 0.209113 0.322486 0.264712 2.42421 0.478936 1.17162 0.739183 1.36285 0.468291 0.596094 16.879 2.84659 1.2511
7.498590 0.0479287 0.490311 0.180671 0.103501 0.253516 0.127443 0.0853656 0.308291 0.239841 0.321925 0.263689 2.50399 0.646716 1.1979 0.73647 1.67905 0.489315 0.618905 10.789 2.66278 1.14209
7.740480 0.0486431 0.490378 0.174213 0.115646 0.255225 0.125977 0.0909752 0.282172 0.272848 0.321498 0.261248 2.61956 0.857915 1.21567 0.729102 2.14602 0.500742 0.649754 7.09105 2.46917 1.04472
7.982370 0.049345 0.490403 0.166365 0.12999 0.25635 0.124361 0.09686 0.250647 0.30633 0.320913 0.258091 2.79013 1.10266 1.22669 0.719175 2.77451 0.499327 0.690253 4.96209 2.27897 0.96715
8.224260 0.0499792 0.490304 0.157011 0.145208 0.257077 0.122781 0.103007 0.213464 0.337981 0.320162 0.254646 3.04554 1.37821 1.23153 0.708066 3.52464 0.483003 0.74106 3.72163 2.09965 0.908313
8.466150 0.0505573 0.490027 0.146629 0.160152 0.257585 0.121323 0.109336 0.172574 0.364982 0.319299 0.251098 3.44301 1.68105 1.23082 0.696248 4.26721 0.455543 0.799332 2.97566 1.93361 0.865908
8.708040 0.0513498 0.48943 0.136731 0.173676 0.257943 0.120015 0.115768 0.133803 0.38464 0.318429 0.247479 4.0964 2.00242 1.22435 0.683773 4.81019 0.425521 0.857751 2.50189 1.78252 0.837728
8.949930 0.0518714 0.48827 0.129651 0.184991 0.258191 0.11887 0.121968 0.107751 0.395651 0.317504 0.243759 5.23175 2.33033 1.21164 0.670142 5.02688 0.402613 0.906891 2.17852 1.64787 0.823213
9.191820 0.0523558 0.48619 0.127541 0.194289 0.258374 0.117877 0.127349 0.104743 0.398996 0.316613 0.239969 7.3817 2.65948 1.19282 0.654619 4.93414 0.391189 0.943264 1.94616 1.52979 0.818599
9.433710 0.0528055 0.481679 0.136003 0.201709 0.258499 0.116981 0.130643 0.123268 0.395937 0.315739 0.235921 12.4103 2.96323 1.16454 0.634353 4.66153 0.401317 0.965631 1.76652 1.42967 0.824901
9.675600 0.0532171 0.46641 0.176645 0.207668 0.258574 0.116162 0.126899 0.154119 0.388597 0.314946 0.231465 30.6017 3.16061 1.10735 0.602674 4.42029 0.477412 0.979303 1.61803 1.34646 0.843305
9.917490 0.0536389 0.296368 0.398838 0.213319 0.258622 0.115455 0.105136 0.195955 0.378724 0.314047 0.226972 111.806 2.85758 0.69719 0.683801 4.58035 0.94894 0.909722 1.49171 1.27431 0.871921
10.159380 0.053945 0.0924106 0.486301 0.218627 0.258702 0.11491 0.165477 0.180373 0.367468 0.313194 0.222397 20.88 2.94399 0.275087 0.86396 4.59379 1.11588 0.713671 1.38426 1.2127 0.911737
10.401270 0.0542279 0.0753535 0.487142 0.223854 0.258774 0.114505 0.197235 0.178739 0.355338 0.312355 0.217713 9.21099 2.73791 0.244453 0.872724 4.89902 1.09308 0.668613 1.28761 1.16004 0.964962
10.643160 0.054413 0.0757697 0.484886 0.228787 0.258852 0.114248 0.219717 0.181697 0.34309 0.3115 0.212796 6.1857 2.50083 0.23728 0.857812 5.28813 1.06498 0.649029 1.20005 1.11546 1.03521
