#t(fs) C1F2 C1F3 C1F4 C1C5 C1H6 C1C7 C1H8 C1F9 F2F3 F2F4 F2C5 F2H6 F2C7 F2H8 F2F9 F3F4 F3C5 F3H6 F3C7 F3H8 F3F9 F4C5 F4H6 F4C7 F4H8 F4F9 C5H6 C5C7 C5H8 C5F9 H6C7 H6H8 H6F9 C7H8 C7F9 H8F9(ang.)
2.660790 1.3305948547 1.3230351531 1.3387499526 1.4935749245 2.3513309966 2.4520380357 2.6351123678 3.6600498978 2.1480878003 2.1202259275 2.3657830699 3.1720086514 3.3802845392 3.3716802240 4.4788033445 2.1302051204 2.3976099934 3.4198711264 2.7000794022 2.3653175264 4.0406097090 2.2660198823 2.2470800306 3.3720550195 3.7865653946 4.4585858807 1.4947961704 1.4046832164 2.2218232829 2.3141141854 2.5697648579 3.6150503220 3.0226079267 1.2483866925 1.3417770031 2.2635869592
2.902680 1.3328650599 1.3227801267 1.3371535866 1.4925524594 2.3224909592 2.4550345811 2.6298845373 3.6598472704 2.1487830352 2.1206333780 2.3647649324 3.1502461683 3.3834827368 3.3707027024 4.4787192742 2.1300640768 2.3989723816 3.3901802411 2.7016120155 2.3752449670 4.0409935472 2.2630149311 2.2229297249 3.3754425765 3.7783805239 4.4582155855 1.4685389924 1.4132451705 2.2030979350 2.3169646551 2.5558700985 3.5673837533 3.0162907918 1.2138294503 1.3408845790 2.2320121123
3.144570 1.3350972624 1.3225289467 1.3354971938 1.4917077746 2.2918346409 2.4581935548 2.6251091888 3.6596926290 2.1494687020 2.1210503999 2.3638186160 3.1269404677 3.3867083821 3.3702481834 4.4785667276 2.1299418381 2.4004953453 3.3585503741 2.7031377085 2.3860516307 4.0413101639 2.2599691528 2.1984107772 3.3789390294 3.7702742366 4.4578209631 1.4396557864 1.4220792427 2.1841328865 2.3198259016 2.5399252585 3.5167510120 3.0083316407 1.1779425089 1.3399657490 2.1991202237
3.386460 1.3372975832 1.3222784877 1.3337640745 1.4910513662 2.2594381978 2.4615031563 2.6209774020 3.6595991497 2.1501497762 2.1214771958 2.3629603526 3.1021482582 3.3899496542 3.3704329945 4.4783583354 2.1298292885 2.4021779751 3.3250593987 2.7046582174 2.3977912369 4.0415679357 2.2568666812 2.1736536024 3.3825038928 3.7624335978 4.4573893863 1.4081848041 1.4311449250 2.1652287995 2.3226986049 2.5219471105 3.4635344750 2.9987793289 1.1410759405 1.3390268040 2.1651756907
3.628350 1.3394697513 1.3220379805 1.3319830209 1.4905847879 2.2253976675 2.4649563461 2.6177226952 3.6595657014 2.1508342274 2.1219335722 2.3622086760 3.0759491931 3.3932075972 3.3714144499 4.4781046178 2.1297508586 2.4040207305 3.2898136808 2.7061925127 2.4105098802 4.0417696351 2.2537394891 2.1488331264 3.3861497380 3.7551448136 4.4569446995 1.3741988072 1.4403983371 2.1467727924 2.3255738883 2.5019760942 3.4082414369 2.9876996578 1.1036922796 1.3380499029 2.1305088980
3.870240 1.3415944911 1.3217989464 1.3301414089 1.4903035165 2.1898879162 2.4685429553 2.6155661143 3.6595901727 2.1515053966 2.1223893380 2.3615485064 3.0484605540 3.3964511421 3.3732950550 4.4777850255 2.1296884447 2.4059999737 3.2529834573 2.7077552541 2.4241831802 4.0419099296 2.2505839391 2.1241509145 3.3898530312 3.7486703651 4.4564812859 1.3378664907 1.4497809917 2.1292114544 2.3284417813 2.4801233551 3.3515507850 2.9752132316 1.0663890465 1.3370119877 2.0955688666
4.112130 1.3436764823 1.3215721170 1.3282574217 1.4902093161 2.1531005484 2.4722452434 2.6147700842 3.6596744515 2.1521745678 2.1228646774 2.3610065048 3.0198407448 3.3996790291 3.3762270856 4.4774197173 2.1296594789 2.4081101296 3.2147692869 2.7093615212 2.4387743627 4.0419917615 2.2474167708 2.0998135872 3.3935892843 3.7433542586 4.4560031683 1.2993698353 1.4592188729 2.1130878655 2.3312892669 2.4565004050 3.2942667952 2.9614500132 1.0299002212 1.3358951843 2.0608912098
4.354020 1.3457073718 1.3213559691 1.3263305029 1.4903035850 2.1152367127 2.4760639466 2.6155768945 3.6598215031 2.1528412304 2.1233694725 2.3605763734 2.9902310250 3.4028769516 3.3802847369 4.4769925035 2.1296612621 2.4103352446 3.1753676175 2.7110438637 2.4541522234 4.0420143988 2.2442375376 2.0760252940 3.3973304892 3.7395417287 4.4555000574 1.2588916026 1.4686446523 2.0990337412 2.3341037173 2.4312152038 3.2373065653 2.9465338722 .9951580526 1.3346588132 2.0271783000
4.595910 1.3476649183 1.3211412773 1.3243697113 1.4905824164 2.0766183503 2.4799880115 2.6182276407 3.6600452264 2.1534900838 2.1238735994 2.3602592904 2.9598861702 3.4060381392 3.3855424405 4.4765185171 2.1296853847 2.4126408023 3.1350748050 2.7128259900 2.4701308700 4.0419825347 2.2410701686 2.0530540084 3.4010565300 3.7376281214 4.4549981132 1.2167668076 1.4779626338 2.0877415818 2.3368793886 2.4044627027 3.1817972567 2.9306633698 .9632477844 1.3332731893 1.9952495437
4.837800 1.3495442718 1.3209300621 1.3223840158 1.4910405281 2.0376497955 2.4840069779 2.6229665342 3.6603513858 2.1541272990 2.1243971890 2.3600583837 2.9291483105 3.4091583282 3.3920459836 4.4760005639 2.1297337484 2.4149959702 3.0942759753 2.7147370156 2.4864679489 4.0418957977 2.2379238825 2.0311486350 3.4047207563 3.7380338944 4.4544897981 1.1734450705 1.4870659388 2.0799833217 2.3395981608 2.3765136363 3.1290629019 2.9140811636 .9354323158 1.3316954814 1.9660547480
