#t 0-1 0-2 0-3 0-4 0-5 0-6 1-2 1-3 1-4 1-5 1-6 2-3 2-4 2-5 2-6 3-4 3-5 3-6 4-5 4-6 5-6
.241890 0.115796 0.239614 0.29429 0.379369 0.24714 0.262021 0.628396 0.530323 0.286295 0.387733 0.310833 0.997828 1.8049 0.448121 0.736659 6.28729 1.4528 0.734882 1.21695 1.95623 37.7604
.483780 0.109757 0.243165 0.28991 0.385223 0.239786 0.258922 0.616374 0.510457 0.294043 0.372318 0.303478 0.934119 1.76741 0.425078 0.772136 5.59964 1.50615 0.694704 1.25703 1.98104 29.4712
.725670 0.101697 0.246595 0.283935 0.392199 0.23387 0.251487 0.608924 0.484922 0.29876 0.359209 0.287808 0.87416 1.71049 0.429319 0.795289 4.95516 1.55214 0.684387 1.32228 2.01222 23.9491
.967560 0.0921788 0.250085 0.277316 0.40047 0.227224 0.241425 0.604463 0.456808 0.300492 0.346922 0.268554 0.823944 1.63718 0.445071 0.814488 4.38105 1.6015 0.686413 1.41515 2.04997 19.8908
1.209450 0.0818552 0.253947 0.271388 0.410039 0.218791 0.229405 0.600378 0.428792 0.299674 0.335853 0.248095 0.792285 1.55513 0.460844 0.833304 3.89464 1.66222 0.685522 1.52999 2.09319 16.5506
1.451340 0.0715946 0.258611 0.267595 0.420433 0.208787 0.215205 0.59255 0.40334 0.297179 0.327637 0.227074 0.792738 1.4814 0.46701 0.852239 3.50537 1.7401 0.667788 1.64861 2.13649 13.5577
1.693230 0.0620493 0.264667 0.266978 0.430572 0.19905 0.197783 0.577647 0.382046 0.293729 0.323892 0.205218 0.841527 1.44744 0.457092 0.867602 3.21577 1.83948 0.626787 1.74573 2.16276 10.7443
1.935120 0.0537793 0.273102 0.270001 0.438466 0.19282 0.176234 0.55311 0.365917 0.290147 0.324995 0.182875 0.960778 1.50127 0.429864 0.870442 3.02134 1.95838 0.565752 1.80551 2.14377 8.0567
2.177010 0.0473384 0.285411 0.275921 0.441631 0.19261 0.1511 0.516191 0.35517 0.287491 0.329638 0.162207 1.17637 1.69155 0.394694 0.849616 2.91636 2.09251 0.501652 1.84094 2.04984 5.63216
2.418900 0.0428211 0.303478 0.283697 0.437247 0.198522 0.125695 0.466878 0.349641 0.286938 0.335638 0.147001 1.51199 2.04445 0.374291 0.797437 2.89813 2.24178 0.457418 1.91203 1.87744 3.66098
