#t C1F2 C1F3 C1F4 C1C5 C5H6 C5C7 C7H8 C7F9
.241890	1.3075376321	1.3272616885	1.3501910693	1.5101723875	1.6176633814	1.3407932237	1.4719023880	1.3493814343
.483780	1.3097689797	1.3266413318	1.3494684040	1.5082084198	1.6160962628	1.3450632937	1.4614238553	1.3487835401
.725670	1.3120374511	1.3260826096	1.3486553130	1.5062799578	1.6122913518	1.3498547650	1.4481358584	1.3481285843
.967560	1.3143257490	1.3255652744	1.3477276898	1.5043977540	1.6061941008	1.3551433338	1.4320771304	1.3474435837
1.209450	1.3166468289	1.3250881650	1.3467071965	1.5025713187	1.5977445432	1.3609239371	1.4132770346	1.3467178297
1.451340	1.3189764455	1.3246593157	1.3455911805	1.5008150752	1.5869025977	1.3671753273	1.3917901592	1.3459492357
1.693230	1.3213148813	1.3242755047	1.3443875600	1.4991399705	1.5735917731	1.3738786146	1.3677214596	1.3451554126
1.935120	1.3236523372	1.3239226853	1.3430937979	1.4975623803	1.5577593916	1.3809985643	1.3411717985	1.3443408716
2.177010	1.3259814790	1.3236054454	1.3417263247	1.4960967622	1.5393847321	1.3885342274	1.3123035415	1.3435023679
2.418900	1.3282958182	1.3233084072	1.3402790768	1.4947618212	1.5184007970	1.3964396161	1.2813023075	1.3426434425
2.660790	1.3305948547	1.3230351531	1.3387499526	1.4935749245	1.4947961704	1.4046832164	1.2483866925	1.3417770031
2.902680	1.3328650599	1.3227801267	1.3371535866	1.4925524594	1.4685389924	1.4132451705	1.2138294503	1.3408845790
3.144570	1.3350972624	1.3225289467	1.3354971938	1.4917077746	1.4396557864	1.4220792427	1.1779425089	1.3399657490
3.386460	1.3372975832	1.3222784877	1.3337640745	1.4910513662	1.4081848041	1.4311449250	1.1410759405	1.3390268040
3.628350	1.3394697513	1.3220379805	1.3319830209	1.4905847879	1.3741988072	1.4403983371	1.1036922796	1.3380499029
3.870240	1.3415944911	1.3217989464	1.3301414089	1.4903035165	1.3378664907	1.4497809917	1.0663890465	1.3370119877
4.112130	1.3436764823	1.3215721170	1.3282574217	1.4902093161	1.2993698353	1.4592188729	1.0299002212	1.3358951843
4.354020	1.3457073718	1.3213559691	1.3263305029	1.4903035850	1.2588916026	1.4686446523	.9951580526	1.3346588132
4.595910	1.3476649183	1.3211412773	1.3243697113	1.4905824164	1.2167668076	1.4779626338	.9632477844	1.3332731893
4.837800	1.3495442718	1.3209300621	1.3223840158	1.4910405281	1.1734450705	1.4870659388	.9354323158	1.3316954814
5.079690	1.3513350551	1.3207345637	1.3203820642	1.4916638168	1.1294426089	1.4958644633	.9130485991	1.3298657314
5.321580	1.3530121563	1.3205446869	1.3183809131	1.4924331608	1.0853570105	1.5042746630	.8973352545	1.3277548904
5.563470	1.3545851892	1.3203619042	1.3163909965	1.4933158013	1.0419463243	1.5122144419	.8892722642	1.3253208276
5.805360	1.3560303942	1.3201986416	1.3144357411	1.4942687300	1.0002131641	1.5196334678	.8894283186	1.3225170001
6.047250	1.3573539241	1.3200570068	1.3125440121	1.4952451131	.9614093145	1.5264758081	.8978480487	1.3193669647
6.289140	1.3585483576	1.3199394087	1.3107149205	1.4961982810	.9270442199	1.5327131157	.9140333642	1.3158639174
6.531030	1.3596171170	1.3198484147	1.3089801836	1.4970845969	.8987575919	1.5383086075	.9370385998	1.3120598167
6.772920	1.3605653589	1.3197852823	1.3073426017	1.4978742154	.8781695142	1.5432353705	.9656622733	1.3079963522
