#t 0-1 0-2 0-3 0-4 0-5 0-6 1-2 1-3 1-4 1-5 1-6 2-3 2-4 2-5 2-6 3-4 3-5 3-6 4-5 4-6 5-6
5.805360 0.044821 0.473134 0.30595 0.156899 0.309219 0.128198 0.198158 0.34905 0.245328 0.298743 0.218489 6.2359 1.19051 0.79864 0.693936 4.49087 1.00485 0.853933 0.62562 0.736081 1.34196
6.047250 0.0456046 0.466319 0.319158 0.154776 0.308827 0.131279 0.213571 0.351077 0.236721 0.296191 0.22212 6.16355 1.20424 0.761585 0.697926 4.41149 1.02554 0.814277 0.585885 0.765662 1.46428
6.289140 0.0462892 0.462706 0.327216 0.152728 0.308418 0.134771 0.224558 0.353296 0.227089 0.294599 0.225652 5.95022 1.23803 0.725757 0.701687 4.52746 1.03318 0.789846 0.543202 0.80166 1.68088
6.531030 0.0469747 0.462304 0.330525 0.150749 0.307987 0.138684 0.231047 0.355802 0.216409 0.294198 0.22869 5.6495 1.29249 0.690967 0.706933 4.84965 1.02811 0.776969 0.502073 0.844402 2.0431
6.772920 0.0476728 0.464776 0.32978 0.14897 0.307422 0.143045 0.232912 0.358558 0.20471 0.295349 0.230674 5.29461 1.37067 0.65627 0.715293 5.40479 1.01126 0.771394 0.467685 0.89617 2.64579
7.014810 0.0483848 0.469531 0.325615 0.147751 0.306482 0.14797 0.231011 0.360881 0.192231 0.298616 0.230848 4.90439 1.47766 0.620791 0.727716 6.20597 0.984288 0.768065 0.447767 0.958453 3.67856
7.256700 0.0490782 0.475837 0.318382 0.147916 0.304623 0.153722 0.225994 0.36169 0.18043 0.304908 0.228389 4.48609 1.61654 0.584253 0.745234 7.14719 0.949245 0.758938 0.455852 1.03406 5.5116
7.498590 0.0497302 0.482903 0.308169 0.150635 0.300747 0.160996 0.218761 0.359305 0.172559 0.315266 0.222404 4.04791 1.77501 0.549381 0.767315 7.85426 0.908964 0.737888 0.51394 1.12104 8.84294
7.740480 0.0503327 0.490227 0.295648 0.155981 0.29325 0.170633 0.210312 0.351939 0.1724 0.329997 0.21263 3.61657 1.91307 0.52201 0.793612 7.73226 0.867929 0.704237 0.64773 1.20916 14.7244
7.982370 0.050896 0.497285 0.282404 0.161543 0.281104 0.183034 0.201198 0.339937 0.178923 0.346775 0.201157 3.23645 1.97686 0.509754 0.821392 6.62259 0.832018 0.666414 0.868244 1.28058 23.7893
8.224260 0.051416 0.503769 0.270902 0.164202 0.265485 0.196689 0.192157 0.326026 0.186494 0.361004 0.19363 2.94846 1.94767 0.516282 0.846762 5.10342 0.807361 0.634312 1.1591 1.32323 34.3613
8.466150 0.0518846 0.509528 0.262442 0.163132 0.250268 0.207881 0.183537 0.312969 0.191132 0.369458 0.194516 2.75626 1.84823 0.53568 0.868021 3.76214 0.793919 0.611533 1.49029 1.35464 42.7593
8.708040 0.052467 0.514294 0.256925 0.159185 0.239288 0.213994 0.175558 0.301982 0.192566 0.373184 0.201152 2.6406 1.7143 0.555963 0.887683 2.78123 0.78592 0.599289 1.83882 1.4088 47.9517
8.949930 0.0529687 0.518151 0.253762 0.153752 0.23408 0.214605 0.168449 0.293172 0.192343 0.375257 0.207654 2.5784 1.57298 0.567952 0.909487 2.1162 0.775954 0.59888 2.19486 1.51951 52.1786
9.191820 0.053426 0.521122 0.252291 0.148061 0.234779 0.209581 0.162194 0.286284 0.192401 0.377808 0.209988 2.55126 1.44014 0.567489 0.93449 1.67987 0.757341 0.61201 2.53754 1.72114 57.8521
9.433710 0.0538539 0.523262 0.251957 0.143045 0.241396 0.19796 0.156813 0.280972 0.194318 0.381629 0.206784 2.54684 1.32379 0.558635 0.959626 1.39957 0.72318 0.64097 2.80833 2.063 65.1055
9.675600 0.0542269 0.524584 0.252378 0.139307 0.252678 0.179177 0.152226 0.276937 0.198936 0.384827 0.201407 2.55735 1.2268 0.563459 0.971872 1.22403 0.66912 0.684432 2.90131 2.58819 67.3096
9.917490 0.0545853 0.525145 0.253289 0.137092 0.262839 0.159184 0.148443 0.273941 0.205879 0.38271 0.203243 2.5773 1.14904 0.613435 0.952252 1.11763 0.608882 0.725115 2.76547 3.20459 53.7433
10.159380 0.0548265 0.524933 0.254475 0.136245 0.266817 0.147459 0.145307 0.271796 0.214185 0.376007 0.21191 2.60357 1.08866 0.689575 0.907154 1.05506 0.570806 0.74305 2.55315 3.69615 33.2536
10.401270 0.0550693 0.524039 0.255814 0.136365 0.266503 0.142873 0.142751 0.270261 0.222498 0.370024 0.218169 2.63364 1.04204 0.754794 0.860258 1.01883 0.558196 0.742749 2.41354 3.98799 19.324
10.643160 0.0552202 0.522445 0.257177 0.13692 0.264945 0.140954 0.140822 0.26922 0.229751 0.366742 0.220074 2.66605 1.00642 0.802912 0.821517 0.997574 0.559579 0.73658 2.37209 4.13675 12.0245
10.885050 0.0553552 0.52019 0.258486 0.137451 0.263316 0.139734 0.139508 0.268468 0.235198 0.365929 0.219265 2.69971 0.978828 0.837517 0.791993 0.984401 0.566687 0.731267 2.44803 4.20783 8.33427
