0 -39.87120817 -39.84335230 -39.82802040 -39.81558131 -39.80190720
1 -39.87007322 -39.84415974 -39.82851923 -39.81462091 -39.80137770
2 -39.86943959 -39.84545913 -39.82934904 -39.81388269 -39.80096609
3 -39.86910243 -39.84692786 -39.83053948 -39.81347167 -39.80043413
4 -39.86907883 -39.84853830 -39.83216298 -39.81347843 -39.79963208
5 -39.86936283 -39.85024196 -39.83430999 -39.81387340 -39.79852851
6 -39.86982360 -39.85164393 -39.83717686 -39.81406047 -39.79777092
7 -39.87016486 -39.85176393 -39.84053182 -39.81332334 -39.79826536
8 -39.87080637 -39.85163873 -39.84345336 -39.81319757 -39.79826210
9 -39.87216249 -39.85193045 -39.84585391 -39.81374165 -39.79788953
10 -39.87432070 -39.85288984 -39.84760706 -39.81473700 -39.79745792
11 -39.87720941 -39.85464478 -39.84861649 -39.81612755 -39.79704494
12 -39.88067624 -39.85697635 -39.84910235 -39.81794478 -39.79660710
13 -39.88457355 -39.85964139 -39.84932294 -39.82024533 -39.79606195
14 -39.88868806 -39.86246876 -39.84932821 -39.82310884 -39.79523634
15 -39.89282087 -39.86533629 -39.84904747 -39.82652379 -39.79400057
16 -39.89680823 -39.86814221 -39.84836040 -39.83042955 -39.79226052
17 -39.90054408 -39.87081202 -39.84725503 -39.83473866 -39.78997998
18 -39.90398382 -39.87330648 -39.84642013 -39.83934350 -39.78719045
19 -39.90712331 -39.87561160 -39.84801059 -39.84420286 -39.78397957
20 -39.90993336 -39.87771134 -39.85237605 -39.84969770 -39.78038439
21 -39.91243983 -39.87962167 -39.85755981 -39.85553476 -39.77657565
22 -39.91469734 -39.88133784 -39.86357627 -39.86034130 -39.77292727
23 -39.91677272 -39.88286970 -39.87066561 -39.86360775 -39.76994245
24 -39.91884131 -39.88432891 -39.87826256 -39.86593415 -39.76841001
25 -39.92106724 -39.88676617 -39.88497343 -39.86775995 -39.76872208
26 -39.92361643 -39.89362516 -39.88698945 -39.86943890 -39.77050357
27 -39.92656604 -39.90008970 -39.88875070 -39.87112897 -39.77321841
28 -39.92979046 -39.90535024 -39.89064474 -39.87276198 -39.77650296
29 -39.93286916 -39.90913659 -39.89245878 -39.87391136 -39.77995230
30 -39.93525010 -39.91126437 -39.89381652 -39.87338264 -39.78287003
31 -39.93692254 -39.91182568 -39.89413973 -39.86509545 -39.78568547
32 -39.92911863 -39.90890477 -39.89458938 -39.86804516 -39.77525808
33 -39.92329289 -39.90370676 -39.89089821 -39.86467746 -39.76942958
34 -39.91596821 -39.89627865 -39.88491219 -39.85911861 -39.76133255
35 -39.90819042 -39.88802810 -39.87792922 -39.85226467 -39.75217832
36 -39.90173775 -39.88104687 -39.87197417 -39.84605952 -39.74398768
37 -39.89846378 -39.87740738 -39.86909715 -39.84237815 -39.73887013
38 -39.89931088 -39.87819106 -39.87036797 -39.84163082 -39.73804207
39 -39.90365217 -39.88296939 -39.87522687 -39.84471202 -39.74143979
40 -39.90959913 -39.88992056 -39.88168205 -39.85382425 -39.74750688
41 -39.91510159 -39.89681634 -39.88756020 -39.86365611 -39.75419599
42 -39.91861349 -39.90191557 -39.89132682 -39.86924249 -39.75967781
43 -39.91951204 -39.90428260 -39.89240737 -39.87133749 -39.76250203
44 -39.91794284 -39.90400688 -39.89081626 -39.87063266 -39.76300548
45 -39.91438752 -39.90151923 -39.88698468 -39.86774328 -39.76159725
46 -39.90938941 -39.89732129 -39.88156588 -39.86328965 -39.75833226
47 -39.90347089 -39.89197086 -39.87516183 -39.85786796 -39.75357358
48 -39.89698110 -39.88594911 -39.86833983 -39.85195716 -39.74756932
49 -39.89033227 -39.87963266 -39.86156441 -39.84589911 -39.74083500
50 -39.88390939 -39.87331295 -39.85501606 -39.83995879 -39.73403603
51 -39.87789593 -39.86718588 -39.84882390 -39.83431902 -39.72748371
52 -39.87237824 -39.86138272 -39.84309311 -39.82909702 -39.72208170
53 -39.86739103 -39.85598887 -39.83789238 -39.82436259 -39.72530400
54 -39.86294812 -39.85106393 -39.83326871 -39.82015804 -39.72838778
55 -39.85905383 -39.84664612 -39.82924207 -39.81650541 -39.73108342
56 -39.85571139 -39.84275684 -39.82581923 -39.81341185 -39.73331608
57 -39.85293016 -39.83940645 -39.82299523 -39.81087566 -39.73507228
58 -39.85072825 -39.83659884 -39.82075955 -39.80889083 -39.73636456
59 -39.84913056 -39.83433593 -39.81910100 -39.80745124 -39.73721347
60 -39.84816097 -39.83261761 -39.81800895 -39.80655017 -39.73763935
61 -39.84783684 -39.83144479 -39.81747520 -39.80618238 -39.73765512
62 -39.84816139 -39.83081991 -39.81749443 -39.80634532 -39.73726172
63 -39.84912343 -39.83074795 -39.81806491 -39.80703919 -39.73644709
